https://www.amazon.com/Neutrogena-Shield-Oil-Free-Sunscreen-Spectrum/dp/B0037LOQQI/ref=sr_1_4_a_it/146-0643323-3285715?ie=UTF8
Neutrogena Age Shield Face Oil-Free Lotion Sunscreen Broad Spectrum Spf 110, 3 Fl. Oz.
reviewId, reviewDate, userId, userName, userLocation, userLink
R2NCQORZLY3RF2,December 29 2016,AFGZTA53Z4SSHZMY2VG6XDT2LECQ,Mary M.,,/gp/profile/amzn1.account.AFGZTA53Z4SSHZMY2VG6XDT2LECQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3ULNZ9J7SS2FY,October 30 2016,AHAD27E6LCPQLFZIJOP54CQ34DNQ,RT,,/gp/profile/amzn1.account.AHAD27E6LCPQLFZIJOP54CQ34DNQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R23WMDO5358VYS,April 12 2016,AFQ3RJESEIPGKZRN4GZTJBTVHGDQ,Gloria Andrea Amado,,/gp/profile/amzn1.account.AFQ3RJESEIPGKZRN4GZTJBTVHGDQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1AFIF1R4QQL6R,June 5 2016,AGO3HDDW5J76QDWRAYSCJ7TOF57Q,Lec,,/gp/profile/amzn1.account.AGO3HDDW5J76QDWRAYSCJ7TOF57Q/ref=cm_cr_arp_d_pdp?ie=UTF8
R2L4TFCIO0AYEH,July 5 2016,AFZU7BD36DGSPFPOE5OGUVF767LA,TAMPANATIVE,,/gp/profile/amzn1.account.AFZU7BD36DGSPFPOE5OGUVF767LA/ref=cm_cr_arp_d_pdp?ie=UTF8
RK744OYGV8Q17,September 2 2016,AHDWFGSR2MVNK4DJLRFIXTKIZKIA,Sandra Dutra,,/gp/profile/amzn1.account.AHDWFGSR2MVNK4DJLRFIXTKIZKIA/ref=cm_cr_arp_d_pdp?ie=UTF8
REQSOVBLFWYX5,July 15 2016,AFKFFPV7GINSKK7BDDQZSPZI3VQA,phatso17,,/gp/profile/amzn1.account.AFKFFPV7GINSKK7BDDQZSPZI3VQA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1EU6X4ZG621QY,July 28 2016,AECZKHHM5HEIJDGMNT7IBZNJTSVQ,Jared Hay,Graphic Designer" "Oregon  USA,/gp/profile/amzn1.account.AECZKHHM5HEIJDGMNT7IBZNJTSVQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R24E9TIB0CIAEM,June 28 2016,AHKJJFWV7YYTKFUOVPDTADPZWDJQ,S. Pikul,,/gp/profile/amzn1.account.AHKJJFWV7YYTKFUOVPDTADPZWDJQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1MQYA8KQ1Q0ZV,April 13 2016,AH6Z2W3WHP44A2FP62ZJC3NVVSMQ,TXmom247,Homemaker" "Texas,/gp/profile/amzn1.account.AH6Z2W3WHP44A2FP62ZJC3NVVSMQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R26SL3R9TADN6Z,July 4 2016,AGVPWQX26KUWCX5D7NTPYLYEOHAQ,Adriana Maria Carvajal Ch.,,/gp/profile/amzn1.account.AGVPWQX26KUWCX5D7NTPYLYEOHAQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R99UD2HEJDI57,May 23 2016,AHRT5XIQL6DQPDDUEXF27S47U4ZQ,Amazon Customer,,/gp/profile/amzn1.account.AHRT5XIQL6DQPDDUEXF27S47U4ZQ/ref=cm_cr_arp_d_pdp?ie=UTF8
RI9U7JS4DQBRS,September 24 2016,AF5KXUXEEKAJEV66VKKCEFOOPB7Q,Brandi,,/gp/profile/amzn1.account.AF5KXUXEEKAJEV66VKKCEFOOPB7Q/ref=cm_cr_arp_d_pdp?ie=UTF8
R56Z7PSMH5VQT,June 24 2016,AGHCCMIQVEG2ARE6HCNB5XCAAB6A,Amazon Customer,,/gp/profile/amzn1.account.AGHCCMIQVEG2ARE6HCNB5XCAAB6A/ref=cm_cr_arp_d_pdp?ie=UTF8
R1A04UPVGDB9J2,September 30 2016,AE2Q2MT34G7ISHCRCDBUTOA5T75A,Scott,,/gp/profile/amzn1.account.AE2Q2MT34G7ISHCRCDBUTOA5T75A/ref=cm_cr_arp_d_pdp?ie=UTF8
R2JXSX2U5P3L4D,November 13 2016,AEMNU36JNQGMBEM5KRHWMM6TI22A,Texas Breeze,Texas,/gp/profile/amzn1.account.AEMNU36JNQGMBEM5KRHWMM6TI22A/ref=cm_cr_arp_d_pdp?ie=UTF8
R15AHXG8JYYID3,February 26 2016,AGDL73IJ2QPOZPXJ4NKUNVVZEDBA,LadyInBlue277,,/gp/profile/amzn1.account.AGDL73IJ2QPOZPXJ4NKUNVVZEDBA/ref=cm_cr_arp_d_pdp?ie=UTF8
RT8ZRCCJXUELA,February 7 2016,AHQCN6EEMCLXRWKM2E7ISIMJU7OQ,Collette,SAHM " "Maryland,/gp/profile/amzn1.account.AHQCN6EEMCLXRWKM2E7ISIMJU7OQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2YRXRWEANLWCL,June 28 2016,AEXPIRQN2IMFIITRZTR23B3Z4XLQ,Duy H. Le,,/gp/profile/amzn1.account.AEXPIRQN2IMFIITRZTR23B3Z4XLQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3BP3H5A0SDJY2,May 18 2016,AGBVNOAB5GS64RP3GXUZ2XCCTKEQ,samik22,,/gp/profile/amzn1.account.AGBVNOAB5GS64RP3GXUZ2XCCTKEQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R6PCI5BEO5K0E,October 7 2016,AFJ5CIA7J6SUINWXH5IWVO7JGJKQ,Amazon Customer,,/gp/profile/amzn1.account.AFJ5CIA7J6SUINWXH5IWVO7JGJKQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2053S22VAG46T,February 23 2016,AFDKOUARYIMZ7AJA7OL7LXC4YMPA,J Sloate,,/gp/profile/amzn1.account.AFDKOUARYIMZ7AJA7OL7LXC4YMPA/ref=cm_cr_arp_d_pdp?ie=UTF8
R167WRHY76096A,November 4 2016,AG2IVDSXV4GA3OGTHUJTA4ZNRJQA,Monica,,/gp/profile/amzn1.account.AG2IVDSXV4GA3OGTHUJTA4ZNRJQA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1YI3UKB0JMWK,July 3 2016,AHJLVN7MUVKBC75RSKWZDFVFOOJQ,Amazon Customer,,/gp/profile/amzn1.account.AHJLVN7MUVKBC75RSKWZDFVFOOJQ/ref=cm_cr_arp_d_pdp?ie=UTF8
RMBN3N7WYSWX4,June 22 2016,AHROKXFYRZKMGQXQNL745HGFUKRA,LORETTA KING,,/gp/profile/amzn1.account.AHROKXFYRZKMGQXQNL745HGFUKRA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1L014Z2KH0JKB,June 3 2016,AGL7735BR44M6IV5V323Z6HNPDRQ,Amazon Customer,,/gp/profile/amzn1.account.AGL7735BR44M6IV5V323Z6HNPDRQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R7RE6OM6UDT09,March 30 2016,AHJRZ7LPAR6PYH53ZVPDE7RUAVNA,Jay,,/gp/profile/amzn1.account.AHJRZ7LPAR6PYH53ZVPDE7RUAVNA/ref=cm_cr_arp_d_pdp?ie=UTF8
R4F5LS4EL1QCK,August 26 2016,AEUGOR4EOVP6ICZ6I6SXLP5JI44Q,C,MS USA,/gp/profile/amzn1.account.AEUGOR4EOVP6ICZ6I6SXLP5JI44Q/ref=cm_cr_arp_d_pdp?ie=UTF8
RCTELAZT1U0NA,June 17 2016,AFTHVTV7WEVRZQMJV5DJAJEOEELA,Ariana Valdivia,,/gp/profile/amzn1.account.AFTHVTV7WEVRZQMJV5DJAJEOEELA/ref=cm_cr_arp_d_pdp?ie=UTF8
RKONWFBNN66S5,October 15 2016,AFAUMY7CQVN47FWKHQSOSHUH5ZKQ,Amazon Customer,,/gp/profile/amzn1.account.AFAUMY7CQVN47FWKHQSOSHUH5ZKQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R20MGJDN8MD8CS,June 3 2016,AHMLGFAU5QEQKWBP7PDS636OVCZQ,Sue,,/gp/profile/amzn1.account.AHMLGFAU5QEQKWBP7PDS636OVCZQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R132PWJYFBC3Q7,August 24 2016,AHPI4D5V3Z3NVPHVKKXFMEZESPYQ,PAOLA,,/gp/profile/amzn1.account.AHPI4D5V3Z3NVPHVKKXFMEZESPYQ/ref=cm_cr_arp_d_pdp?ie=UTF8
RGM12ET3HNT4Y,September 4 2016,AGP44YPTXIO3U3CAODY4VL5HNCOA,Erick Servin,,/gp/profile/amzn1.account.AGP44YPTXIO3U3CAODY4VL5HNCOA/ref=cm_cr_arp_d_pdp?ie=UTF8
R3FU3EZU3UHDL1,July 31 2016,AEA3ZSFT5JNQW332JM4BUKHWFODA,Pam Reicks,,/gp/profile/amzn1.account.AEA3ZSFT5JNQW332JM4BUKHWFODA/ref=cm_cr_arp_d_pdp?ie=UTF8
RTNIGEQE680K1,January 22 2016,AFPOMDDMZ2CBPTGON7RLSGYQ2HTQ,Amazon Customer,,/gp/profile/amzn1.account.AFPOMDDMZ2CBPTGON7RLSGYQ2HTQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3GIDAYOMT8COT,June 15 2016,AF2KY6OFU254NWGLBVDCRY5FXGPA,Sakura,Student" "California,/gp/profile/amzn1.account.AF2KY6OFU254NWGLBVDCRY5FXGPA/ref=cm_cr_arp_d_pdp?ie=UTF8
R10HR3FXAU56CC,June 9 2016,AEJNC6MPCFJG7T2Z44BLFWSF2B7A,Ran,,/gp/profile/amzn1.account.AEJNC6MPCFJG7T2Z44BLFWSF2B7A/ref=cm_cr_arp_d_pdp?ie=UTF8
R3BXPGM9OS1N7L,June 4 2016,AEWTVNEQPQFGN7BKQDU5KF6GE7LA,Isabel Martinez,,/gp/profile/amzn1.account.AEWTVNEQPQFGN7BKQDU5KF6GE7LA/ref=cm_cr_arp_d_pdp?ie=UTF8
R2FM24WKCT0B4U,July 13 2016,AEHHKZY4PSL5GJYB6E373RG6NKYA,Butterflygirl,Digital Marketing" "Ormond Beach  Florida,/gp/profile/amzn1.account.AEHHKZY4PSL5GJYB6E373RG6NKYA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1ABENRJMHCPS,November 9 2016,AFIRYS5ZUXGTFDFSITIDUPJTXWLQ,Irene Rivas,,/gp/profile/amzn1.account.AFIRYS5ZUXGTFDFSITIDUPJTXWLQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3JRU65NB4OPI5,November 7 2016,AFXQ3YEUYMLSDGRXVLHG3NHKOYVA,thdelazare,,/gp/profile/amzn1.account.AFXQ3YEUYMLSDGRXVLHG3NHKOYVA/ref=cm_cr_arp_d_pdp?ie=UTF8
R3BU3ACWV7PE8S,August 6 2016,AEPN7IXXNBHGGAJSCAPKQD7TGUHA,airglow,,/gp/profile/amzn1.account.AEPN7IXXNBHGGAJSCAPKQD7TGUHA/ref=cm_cr_arp_d_pdp?ie=UTF8
