https://www.amazon.com/Neutrogena-Ultra-Dry-Touch-Sunscreen-Spectrum/dp/B004D2DR0Q/ref=sr_1_3_a_it/146-0643323-3285715?ie=UTF8
Neutrogena Ultra Sheer Dry-Touch Sunscreen, Broad Spectrum Spf 45, 3 Fl. Oz., Pack Of 2
reviewId, reviewDate, userId, userName, userLocation, userLink
R1LAEZAYJH97UR,October 13 2016,AGYXNKKY7C2BQ2JITZZMSHD5BL3Q,BAN,SAUDI ARABIA,/gp/profile/amzn1.account.AGYXNKKY7C2BQ2JITZZMSHD5BL3Q/ref=cm_cr_arp_d_pdp?ie=UTF8
R1IIARA2PVKVKR,July 19 2016,AFE3EDEQHNNMKVAD62PBUO5PAARQ,Lacey,Talent management lead" "PA,/gp/profile/amzn1.account.AFE3EDEQHNNMKVAD62PBUO5PAARQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R44BQOYS4O7JV,September 15 2016,AHEAX36KB4KIG4WN6LVN4GKVPOKA,Dusky,,/gp/profile/amzn1.account.AHEAX36KB4KIG4WN6LVN4GKVPOKA/ref=cm_cr_arp_d_pdp?ie=UTF8
RKQCA78X8BHE8,August 17 2016,AETRHP5Q2RKMJ37Q2BPWBBYMGBGA,postie,,/gp/profile/amzn1.account.AETRHP5Q2RKMJ37Q2BPWBBYMGBGA/ref=cm_cr_arp_d_pdp?ie=UTF8
R2E0T3JDPLV29D,October 11 2016,AFKQYO3SQJCLTY5ISVT5P2PSESKQ,Tamiami6,,/gp/profile/amzn1.account.AFKQYO3SQJCLTY5ISVT5P2PSESKQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1DK25PBU6NTYK,June 14 2016,AGGOUDAZUVPJWPDVC7KJZUXLLMIQ,gunes oytun,,/gp/profile/amzn1.account.AGGOUDAZUVPJWPDVC7KJZUXLLMIQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1DEDX61UOPB6K,August 9 2016,AGSVAOMVWDW4C4H5ZQ7IKKH2G3FQ,Faye OSullivan,,/gp/profile/amzn1.account.AGSVAOMVWDW4C4H5ZQ7IKKH2G3FQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R12OIL20ENX28,October 10 2016,AGOH5PCM76C2YX46JRSRQMDHQBNQ,Lisette,,/gp/profile/amzn1.account.AGOH5PCM76C2YX46JRSRQMDHQBNQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2YVFC90ROHXU8,May 1 2016,AHF3VZTNDPGIQRUZBU5GDDVNGPNA,Robert C,Raleigh  NC USA,/gp/profile/amzn1.account.AHF3VZTNDPGIQRUZBU5GDDVNGPNA/ref=cm_cr_arp_d_pdp?ie=UTF8
R3P0AALDQ42ERC,May 18 2016,AHXYPRTMI2J7ZKWIXS2XTX43WWCQ,Amazon Customer,,/gp/profile/amzn1.account.AHXYPRTMI2J7ZKWIXS2XTX43WWCQ/ref=cm_cr_arp_d_pdp?ie=UTF8
RCULR5CTZE3CT,November 17 2016,AGDY2UGDE2M6GYNLBMV4EM255XBA,kelly,Gold Canyon  AZ,/gp/profile/amzn1.account.AGDY2UGDE2M6GYNLBMV4EM255XBA/ref=cm_cr_arp_d_pdp?ie=UTF8
R24XG0MAL32EQK,July 17 2016,AEHOZ54A7XWVOYOSNVZ3G55K55OQ,tangodekuroneko,atl,/gp/profile/amzn1.account.AEHOZ54A7XWVOYOSNVZ3G55K55OQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3NQ9CHLLESSPM,August 23 2016,AF5SVPZCLFIF7GQ2K3KGA7CVTI6A,Mrs. Smith,,/gp/profile/amzn1.account.AF5SVPZCLFIF7GQ2K3KGA7CVTI6A/ref=cm_cr_arp_d_pdp?ie=UTF8
R1BQ62DV4OVM21,June 19 2016,AHCGWISC7GTCCNEGQKFQEM2FTC4A,Audra1028,,/gp/profile/amzn1.account.AHCGWISC7GTCCNEGQKFQEM2FTC4A/ref=cm_cr_arp_d_pdp?ie=UTF8
R1W9WPT4R6XDBJ,August 16 2016,AHW4YPA6EIZMGX4E6AKRVSPVZAGQ,Jay,,/gp/profile/amzn1.account.AHW4YPA6EIZMGX4E6AKRVSPVZAGQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1SPDBJGVEHU0N,August 3 2016,AEDN5DCIYAQHWXDN6XMVPCRMRNQQ,elgreco,,/gp/profile/amzn1.account.AEDN5DCIYAQHWXDN6XMVPCRMRNQQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1CXJP4V43SYV5,January 25 2016,AGEGVHPD5DLCCQDOHAFSRHJOYUMA,Kindle Customer,,/gp/profile/amzn1.account.AGEGVHPD5DLCCQDOHAFSRHJOYUMA/ref=cm_cr_arp_d_pdp?ie=UTF8
RCYXN503JNJNI,August 20 2016,AGLNUX3P5YHHM4SYZCR4TX723VHA,Patrick Gudmundson,,/gp/profile/amzn1.account.AGLNUX3P5YHHM4SYZCR4TX723VHA/ref=cm_cr_arp_d_pdp?ie=UTF8
R19DGCZEN0SL5I,September 25 2016,AF45B34GYLABLWSGECH5C5M6FMWQ,Miguel,,/gp/profile/amzn1.account.AF45B34GYLABLWSGECH5C5M6FMWQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R36HMFZ56F6XCE,June 19 2016,AGCUONI7ZAZ4SCQWIUQCV7LRU7VQ,MSW,self-employed" "Westchester county  New York,/gp/profile/amzn1.account.AGCUONI7ZAZ4SCQWIUQCV7LRU7VQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1889C76ICME6F,June 3 2016,AG5ME7FNGFBOEWZW33LKBE4ZQP2Q,Ms D,,/gp/profile/amzn1.account.AG5ME7FNGFBOEWZW33LKBE4ZQP2Q/ref=cm_cr_arp_d_pdp?ie=UTF8
R2LE8H69KVR7WH,July 1 2016,AFRGFQ3EE5DL273FSC4BK3WG2EJA,Hollywood Adjacent 13,,/gp/profile/amzn1.account.AFRGFQ3EE5DL273FSC4BK3WG2EJA/ref=cm_cr_arp_d_pdp?ie=UTF8
R39GDKGLMBFPVT,September 7 2016,AGWLBRZ2A6X2YA3LCST4XKAT4RTA,Jada Marnew,A galaxy far far away,/gp/profile/amzn1.account.AGWLBRZ2A6X2YA3LCST4XKAT4RTA/ref=cm_cr_arp_d_pdp?ie=UTF8
RMZISZZP6EE74,March 28 2016,AFFLCW7OSVA2U3O3KZCLMGC3SOHQ,sat4102,,/gp/profile/amzn1.account.AFFLCW7OSVA2U3O3KZCLMGC3SOHQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R155ZY58Q9NP8F,July 22 2016,AE4J4YLFZ34F24CIWCXF2QBD3OUA,BlueFu8,Social Media Customer Service" "LEXINGTON  KY  US,/gp/profile/amzn1.account.AE4J4YLFZ34F24CIWCXF2QBD3OUA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1PSA73J7PCJW1,August 30 2016,AEWHIVZNBIVXRCA46JV7RXRPQCIQ,James. Backus,,/gp/profile/amzn1.account.AEWHIVZNBIVXRCA46JV7RXRPQCIQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3AANIM2E4JP3G,July 21 2016,AECAMRUKYP3TBAGGDGULSSV3HQRA,Karen,,/gp/profile/amzn1.account.AECAMRUKYP3TBAGGDGULSSV3HQRA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1CCHHC0CFZE7I,April 25 2016,AHQOBVK43JPPJKOTMNTL5KFY56TA,Daniel,,/gp/profile/amzn1.account.AHQOBVK43JPPJKOTMNTL5KFY56TA/ref=cm_cr_arp_d_pdp?ie=UTF8
R1D850MBKIF423,August 29 2016,AFQONAVMIVVSWJPYQW7AQI3BFUWQ,Hope it Helps,IT Internet Expert" "Texas,/gp/profile/amzn1.account.AFQONAVMIVVSWJPYQW7AQI3BFUWQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2VJ6657NA6Q1G,April 9 2016,AHAHHWAJDCRIYBR44ASPCBPROGLQ,Phoutheva Schmidt,,/gp/profile/amzn1.account.AHAHHWAJDCRIYBR44ASPCBPROGLQ/ref=cm_cr_arp_d_pdp?ie=UTF8
RL1R94R2UHAUR,May 16 2016,AFCIRFNEGAH3JSYY42BAOCBDGZGA,Michelle H,Photographer  Business owner" "Utah,/gp/profile/amzn1.account.AFCIRFNEGAH3JSYY42BAOCBDGZGA/ref=cm_cr_arp_d_pdp?ie=UTF8
RCV5MF2D20CG4,September 10 2016,AFLB3ODFPQMTTMB5GQ5DJMJJK7JA,Amazon Customer,,/gp/profile/amzn1.account.AFLB3ODFPQMTTMB5GQ5DJMJJK7JA/ref=cm_cr_arp_d_pdp?ie=UTF8
R3MWGNJEH7L4N5,September 19 2016,AHPRI2XGL6UCKBPKPFAJIIYZLSHQ,J.C088,,/gp/profile/amzn1.account.AHPRI2XGL6UCKBPKPFAJIIYZLSHQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R1QB1DSD3F7AJ2,July 5 2016,AG5KDSTBD5NBTYOQMBE55FA3TQVQ,LindaT,,/gp/profile/amzn1.account.AG5KDSTBD5NBTYOQMBE55FA3TQVQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2A3D5QBS0D6TP,October 27 2016,AF2XNRRYBGUC5YXNMLJ2DAMC62BA,Avared,,/gp/profile/amzn1.account.AF2XNRRYBGUC5YXNMLJ2DAMC62BA/ref=cm_cr_arp_d_pdp?ie=UTF8
R2SQT5SW7ZQZN4,August 11 2016,AELYQWF52KL5SFP44H4E35HIUWLA,Scott Rubin,New York  NY,/gp/profile/amzn1.account.AELYQWF52KL5SFP44H4E35HIUWLA/ref=cm_cr_arp_d_pdp?ie=UTF8
R2L01GJO8JA8X3,October 20 2016,AGPJAJI5PDVQETXKWQ4LQZIHJ6EQ,V.ston,,/gp/profile/amzn1.account.AGPJAJI5PDVQETXKWQ4LQZIHJ6EQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R3P2OIZBDQBW9S,September 1 2016,AGXVVQCFBZCFANC54ZIUY23AN6TQ,Sally,,/gp/profile/amzn1.account.AGXVVQCFBZCFANC54ZIUY23AN6TQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2PHZM0DRYJBCZ,June 6 2016,AEB4L3ZVBJGS5O3W7XDNIGEOOUUQ,Linda P.,retired" "florida,/gp/profile/amzn1.account.AEB4L3ZVBJGS5O3W7XDNIGEOOUUQ/ref=cm_cr_arp_d_pdp?ie=UTF8
R2WJ1HBHTVZM5L,May 6 2016,AHZQCIFZGL23XK4KOQX6HZ3F4U6A,Minh T.,,/gp/profile/amzn1.account.AHZQCIFZGL23XK4KOQX6HZ3F4U6A/ref=cm_cr_arp_d_pdp?ie=UTF8
